date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:52	23/23	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:52%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=b712c77ed09e90758e38055603220d0f8c833089&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=java	praytimes.org/code/git/indexbc42.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=e3223ed372dd599126fd12bef617e9df6cb18bab&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad)
15:42:52	25/25	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:52%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=98bbbf7c50687f0350fa06811ad69dbfeaaae721&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=csharp	praytimes.org/code/git/index8a4e.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=e3223ed372dd599126fd12bef617e9df6cb18bab&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad)
15:42:53	21/21	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:52%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=1813a18e0baf2d02503ebc3e54f3ade4b3354f8a&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=js	praytimes.org/code/git/indexbcb7.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=e3223ed372dd599126fd12bef617e9df6cb18bab&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad)
15:42:54	23/23	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:53%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=95c883d723c4b0fef7d0e6d579d669c9b5211b10&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=objc	praytimes.org/code/git/indexca34.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=e3223ed372dd599126fd12bef617e9df6cb18bab&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad)
15:42:54	22/22	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:53%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=0069ce4c703e104233a1ec565256ad54b58f993d&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=php	praytimes.org/code/git/index7dd3.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=e3223ed372dd599126fd12bef617e9df6cb18bab&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad)
15:42:54	2973/2973	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:53%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=98bbbf7c50687f0350fa06811ad69dbfeaaae721&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad	praytimes.org/code/git/index1405.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=98bbbf7c50687f0350fa06811ad69dbfeaaae721&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/csharp)
15:42:55	18019/18019	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:54%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=c8fc4c66b33980ba8a96be4d7d1771ff258dd5c4&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/csharp/PrayTime.cs	praytimes.org/code/git/index075e.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=98bbbf7c50687f0350fa06811ad69dbfeaaae721&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/csharp)
15:42:56	3350/3350	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:55%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=d086dd4e20256802cc83d63aaefaa71cd8f1aa14&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/csharp/sample.cs	praytimes.org/code/git/indexb08d.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=98bbbf7c50687f0350fa06811ad69dbfeaaae721&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/csharp)
15:42:56	2626/2626	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:55%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=b712c77ed09e90758e38055603220d0f8c833089&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad	praytimes.org/code/git/indexc30f.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=b712c77ed09e90758e38055603220d0f8c833089&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/java)
15:42:57	31383/31383	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:55%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=25cce82f7ffdf78ce46f8f9a304ba1d917d6f04d&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/java/PrayTime.java	praytimes.org/code/git/index079e.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=b712c77ed09e90758e38055603220d0f8c833089&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/java)
